feature,log2FC,pval,qval
EC4-1-2-29,5.193333049,1.45E-11,2.82E-08
EC2-7-1-15,1.997514724,1.09E-10,1.06E-07
EC5-4-99-62,3.332978813,2.67E-10,1.73E-07
EC4-3-1-15,2.631498837,8.38E-10,4.07E-07
EC1-12-1-3,4.606896218,2.22E-09,6.07E-07
EC1-2-7-4,2.330910757,3.13E-09,6.07E-07
EC2-1-1-151,2.446278958,1.97E-09,6.07E-07
EC2-7-1-100,3.494537134,3.11E-09,6.07E-07
EC2-9-1-1,2.037834819,2.71E-09,6.07E-07
EC4-2-1-30,4.053323603,2.34E-09,6.07E-07
EC6-3-2-12,3.729520353,6.83E-09,1.21E-06
EC1-1-1-201,5.019907148,2.04E-08,3.30E-06
EC1-17-4-1,1.509842791,2.79E-08,4.14E-06
EC6-3-4-14,1.264026866,2.99E-08,4.14E-06
EC3-6-3-17,1.523942129,4.05E-08,5.25E-06
EC3-5-4-3,2.38014385,7.34E-08,8.39E-06
EC3-6-3-2,3.118725189,7.31E-08,8.39E-06
EC3-5-1-28,0.975005103,1.06E-07,1.14E-05
EC1-5-1-3,1.073097907,1.75E-07,1.79E-05
EC1-1-1-103,1.838107924,2.09E-07,1.93E-05
EC6-4-1-2,1.328750545,2.01E-07,1.93E-05
EC1-1-1-393,4.948180271,2.56E-07,2.26E-05
EC1-2-1-10,4.546274601,2.81E-07,2.37E-05
EC4-2-2-9,-3.47429152,3.96E-07,3.18E-05
EC5-1-1-13,3.178319899,4.09E-07,3.18E-05
EC1-11-1-6,1.81662763,5.57E-07,4.07E-05
EC4-2-1-151,-2.424355177,5.65E-07,4.07E-05
EC1-8-1-9,0.682350676,9.49E-07,6.59E-05
EC2-5-1-17,1.387319019,1.09E-06,7.29E-05
EC2-7-1-30,0.501660476,1.40E-06,9.05E-05
EC2-7-1-69,1.802146238,1.57E-06,9.84E-05
EC4-1-99-19,1.335632754,1.87E-06,0.000113331
EC2-6-1-21,3.457257101,2.04E-06,0.000120005
EC1-2-99-7,1.580967098,2.19E-06,0.000122841
EC3-1-5-1,1.953666143,2.32E-06,0.000122841
EC4-2-1-28,3.969175415,2.30E-06,0.000122841
EC6-3-5-4,1.343773748,2.34E-06,0.000122841
EC3-4-13-9,1.483385928,2.60E-06,0.000132972
EC5-5-1-1,-4.172820176,3.07E-06,0.000153153
EC2-4-2-2,2.702760908,3.23E-06,0.000153276
EC3-5-1-47,2.978179863,3.22E-06,0.000153276
EC2-3-1-89,1.810130229,3.73E-06,0.000172426
EC3-6-3-31,0.385633581,4.97E-06,0.000224418
EC1-1-3-15,1.9202965,5.51E-06,0.000238913
EC2-2-1-2,1.040783965,5.53E-06,0.000238913
EC3-5-1-4,3.034304383,6.68E-06,0.000276082
EC3-5-2-10,2.352813441,6.59E-06,0.000276082
EC1-1-1-1,1.215581143,7.62E-06,0.00030861
EC4-1-1-83,1.758425421,8.33E-06,0.000330366
